20
0.00	1313.41	2251.00	32284.58	1307.79	1416.96	91494.96	56012.17	22765.68	1510.61	397.05	1146.00	1270.79	754.18	41665.95	740.62	1257.88	866.08	2427.41	1829.40
1313.41	0.00	1231.35	2647.72	66241.73	1758.63	2279.33	2129.91	20374.06	628.64	1619.59	1013.18	2075.34	1550.40	27715.67	782.06	2936.11	48007.78	2346.57	2988.04
2251.00	1231.35	0.00	4396.25	21500.15	2056.46	4285.45	2112.46	31195.59	1176.97	1926.81	1051.76	2489.85	1829.90	35053.37	1019.29	3662.99	2023.40	4613.82	3245.98
32284.58	2647.72	4396.25	0.00	58613.90	1520.71	3052.78	2215.57	8330.50	2283.57	38072.85	3226.61	46198.07	1995.35	2947.55	38879.87	1245.88	38929.94	32849.13	2004.37
1307.79	66241.73	21500.15	58613.90	0.00	31852.70	2355.08	2407.35	16064.08	62100.42	1576.87	102328.41	693.05	33560.31	93379.70	1577.34	39239.10	2301.69	778.34	51424.51
1416.96	1758.63	2056.46	1520.71	31852.70	0.00	3916.51	3005.63	30959.73	2190.77	2054.45	3409.03	1123.24	3875.19	36075.59	1046.38	1068.69	2357.55	1966.20	2444.53
91494.96	2279.33	4285.45	3052.78	2355.08	3916.51	0.00	2215.00	8296.60	2384.98	52553.18	1670.27	43740.29	1084.39	1591.65	79267.50	2008.01	5378.16	99575.54	1204.11
56012.17	2129.91	2112.46	2215.57	2407.35	3005.63	2215.00	0.00	31543.33	805.91	105160.23	1493.37	60069.43	1730.34	695.95	96673.05	2365.34	1493.33	102533.03	968.27
22765.68	20374.06	31195.59	8330.50	16064.08	30959.73	8296.60	31543.33	0.00	22774.19	22785.10	21477.47	20746.40	24260.92	4427.97	22570.81	24420.60	3857.14	28784.47	3719.57
1510.61	628.64	1176.97	2283.57	62100.42	2190.77	2384.98	805.91	22774.19	0.00	700.86	1494.90	1516.92	925.39	38297.93	874.87	1915.86	53143.74	2720.45	1467.78
397.05	1619.59	1926.81	38072.85	1576.87	2054.45	52553.18	105160.23	22785.10	700.86	0.00	2169.09	1357.19	768.73	94515.15	581.19	915.69	978.66	3083.03	945.14
1146.00	1013.18	1051.76	3226.61	102328.41	3409.03	1670.27	1493.37	21477.47	1494.90	2169.09	0.00	2509.57	696.73	30127.23	1405.24	2572.78	1873.98	1312.96	2729.07
1270.79	2075.34	2489.85	46198.07	693.05	1123.24	43740.29	60069.43	20746.40	1516.92	1357.19	2509.57	0.00	2117.24	30175.93	2191.09	886.80	2006.77	1715.85	3158.46
754.18	1550.40	1829.90	1995.35	33560.31	3875.19	1084.39	1730.34	24260.92	925.39	768.73	696.73	2117.24	0.00	29735.65	2140.81	2548.93	2450.30	1523.05	921.43
41665.95	27715.67	35053.37	2947.55	93379.70	36075.59	1591.65	695.95	4427.97	38297.93	94515.15	30127.23	30175.93	29735.65	0.00	63708.75	44169.07	1418.34	51063.63	93991.14
740.62	782.06	1019.29	38879.87	1577.34	1046.38	79267.50	96673.05	22570.81	874.87	581.19	1405.24	2191.09	2140.81	63708.75	0.00	1316.22	793.12	1913.61	1815.32
1257.88	2936.11	3662.99	1245.88	39239.10	1068.69	2008.01	2365.34	24420.60	1915.86	915.69	2572.78	886.80	2548.93	44169.07	1316.22	0.00	2593.13	1475.20	1987.63
866.08	48007.78	2023.40	38929.94	2301.69	2357.55	5378.16	1493.33	3857.14	53143.74	978.66	1873.98	2006.77	2450.30	1418.34	793.12	2593.13	0.00	2702.21	1867.89
2427.41	2346.57	4613.82	32849.13	778.34	1966.20	99575.54	102533.03	28784.47	2720.45	3083.03	1312.96	1715.85	1523.05	51063.63	1913.61	1475.20	2702.21	0.00	4333.73
1829.40	2988.04	3245.98	2004.37	51424.51	2444.53	1204.11	968.27	3719.57	1467.78	945.14	2729.07	3158.46	921.43	93991.14	1815.32	1987.63	1867.89	4333.73	0.00
