25
0	66375	7033.4	23680	37006	18100	1.2989e+05	59430	4.5501e+05	20283	1.0132e+05	3.7954e+05	27957	6.7297e+05	5116.7	87532	4.315e+05	15901	85555	15071	7823.2	63635	36149	6.198e+05	14172
66375	0	38519	19338	56745	31041	15833	7007.8	6.642e+05	18519	85561	6.111e+05	17936	5.8928e+05	38391	3817.2	5.8392e+05	53442	6226.5	39480	73588	6401.6	19209	5.436e+05	40236
7033.4	38519	0	13963	47576	12125	94856	37329	4.7403e+05	5226.6	98648	4.152e+05	11454	5.7499e+05	1882.2	57327	4.0016e+05	21385	58212	16999	6.2904e+05	35140	23807	5.1062e+05	14175
23680	19338	13963	0	27246	10257	53805	14247	4.3751e+05	8876.4	79068	4.5113e+05	16606	7.169e+05	10952	31216	5.4905e+05	16491	33357	6881.1	38239	27184	10514	5.663e+05	6635.7
37006	56745	47576	27246	0	37636	91942	59452	6394.8	35732	97073	10453	33728	7.119e+05	27607	73335	16417	33078	73831	36344	52810	50465	35379	5.4778e+05	41832
18100	31041	12125	10257	37636	0	80042	18119	5.4162e+05	12580	82358	4.9795e+05	26556	6.7984e+05	11932	39590	4.5516e+05	33182	53966	8847.4	37996	42536	4806.7	5.76e+05	6653.3
1.2989e+05	15833	94856	53805	91942	80042	0	30835	6.9667e+05	61241	1.2437e+05	6.8075e+05	54443	6.1992e+05	92919	9501.9	6.4676e+05	89967	7446.7	82665	1.3584e+05	24240	55931	5.5767e+05	87474
59430	7007.8	37329	14247	59452	18119	30835	0	6.5155e+05	21558	92628	5.4716e+05	29741	6.205e+05	36024	9228.8	5.8254e+05	54043	22567	26790	79311	23344	7592.1	6.6526e+05	26310
4.5501e+05	6.642e+05	4.7403e+05	4.3751e+05	6394.8	5.4162e+05	6.9667e+05	6.5155e+05	0	5.7321e+05	7.3445e+05	12511	4.9471e+05	1.1753e+06	5.2448e+05	5.6129e+05	19052	5.4677e+05	6.225e+05	5.4373e+05	4.6111e+05	5.3325e+05	5.5321e+05	1.233e+06	5.0887e+05
20283	18519	5226.6	8876.4	35732	12580	61241	21558	5.7321e+05	0	89161	4.1015e+05	4525	5.2828e+05	6886.9	32708	4.3206e+05	26360	32481	20366	23454	16180	17338	5.5593e+05	18199
1.0132e+05	85561	98648	79068	97073	82358	1.2437e+05	92628	7.3445e+05	89161	0	6.2401e+05	1.0481e+05	5.902e+05	88959	92763	7.1769e+05	1.0073e+05	1.0305e+05	79253	1.2486e+05	99297	66797	6.3563e+05	85154
3.7954e+05	6.111e+05	4.152e+05	4.5113e+05	10453	4.9795e+05	6.8075e+05	5.4716e+05	12511	4.1015e+05	6.2401e+05	0	4.5739e+05	1.0146e+06	4.211e+05	5.8623e+05	20163	4.5979e+05	5.1553e+05	4.5617e+05	3.8316e+05	5.7841e+05	5.1294e+05	9.9442e+05	4.796e+05
27957	17936	11454	16606	33728	26556	54443	29741	4.9471e+05	4525	1.0481e+05	4.5739e+05	0	6.3146e+05	11543	33607	5.0528e+05	25188	24036	31246	22758	8831.9	28981	5.3345e+05	31049
6.7297e+05	5.8928e+05	5.7499e+05	7.169e+05	7.119e+05	6.7984e+05	6.1992e+05	6.205e+05	1.1753e+06	5.2828e+05	5.902e+05	1.0146e+06	6.3146e+05	0	7.2892e+05	5.8871e+05	9.5439e+05	6.5364e+05	6.1257e+05	7.6002e+05	62686	5.4781e+05	6.7568e+05	1.0398e+05	7.5338e+05
5116.7	38391	1882.2	10952	27607	11932	92919	36024	5.2448e+05	6886.9	88959	4.211e+05	11543	7.2892e+05	0	57555	4.6014e+05	13153	54903	11110	5.1323e+05	35865	21894	5.5873e+05	10217
87532	3817.2	57327	31216	73335	39590	9501.9	9228.8	5.6129e+05	32708	92763	5.8623e+05	33607	5.8871e+05	57555	0	5.3263e+05	74185	7584.8	52145	99776	14412	23395	4.5129e+05	52339
4.315e+05	5.8392e+05	4.0016e+05	5.4905e+05	16417	4.5516e+05	6.4676e+05	5.8254e+05	19052	4.3206e+05	7.1769e+05	20163	5.0528e+05	9.5439e+05	4.6014e+05	5.3263e+05	0	4.647e+05	4.9302e+05	4.5681e+05	3.771e+05	5.3255e+05	5.4775e+05	1.1717e+06	4.9143e+05
15901	53442	21385	16491	33078	33182	89967	54043	5.4677e+05	26360	1.0073e+05	4.5979e+05	25188	6.5364e+05	13153	74185	4.647e+05	0	57241	13711	5.1234e+05	48977	41044	5.7968e+05	17336
85555	6226.5	58212	33357	73831	53966	7446.7	22567	6.225e+05	32481	1.0305e+05	5.1553e+05	24036	6.1257e+05	54903	7584.8	4.9302e+05	57241	0	56894	86082	6704	38223	4.8377e+05	60285
15071	39480	16999	6881.1	36344	8847.4	82665	26790	5.4373e+05	20366	79253	4.5617e+05	31246	7.6002e+05	11110	52145	4.5681e+05	13711	56894	0	4.1564e+05	51841	13090	5.2079e+05	1377.4
7823.2	73588	6.2904e+05	38239	52810	37996	1.3584e+05	79311	4.6111e+05	23454	1.2486e+05	3.8316e+05	22758	62686	5.1323e+05	99776	3.771e+05	5.1234e+05	86082	4.1564e+05	0	57927	58225	1.5354e+05	35150
63635	6401.6	35140	27184	50465	42536	24240	23344	5.3325e+05	16180	99297	5.7841e+05	8831.9	5.4781e+05	35865	14412	5.3255e+05	48977	6704	51841	57927	0	33501	4.3477e+05	52826
36149	19209	23807	10514	35379	4806.7	55931	7592.1	5.5321e+05	17338	66797	5.1294e+05	28981	6.7568e+05	21894	23395	5.4775e+05	41044	38223	13090	58225	33501	0	4.2836e+05	12214
6.198e+05	5.436e+05	5.1062e+05	5.663e+05	5.4778e+05	5.76e+05	5.5767e+05	6.6526e+05	1.233e+06	5.5593e+05	6.3563e+05	9.9442e+05	5.3345e+05	1.0398e+05	5.5873e+05	4.5129e+05	1.1717e+06	5.7968e+05	4.8377e+05	5.2079e+05	1.5354e+05	4.3477e+05	4.2836e+05	0	5.2346e+05
14172	40236	14175	6635.7	41832	6653.3	87474	26310	5.0887e+05	18199	85154	4.796e+05	31049	7.5338e+05	10217	52339	4.9143e+05	17336	60285	1377.4	35150	52826	12214	5.2346e+05	0
